Sentiment_Score_median,INTTNLETRCCN_nKVE/dl_median,E_COLI_nKVE/dl_median,CHLFa_ug/l_blauwalg_median,FG_median,TG_median,SQ_median,DR_median,RH_median,Normalized_Amenities_Score,Status
0.4215,45.0,350.0,1.0,4.5,17.0,5.6,0.1,0.1,0.07,1
0.7003,55.0,80.0,1.05,3.6,17.9,5.3,0.0,0.0,0.07,1
0.5629428651209878,50.0,460.0,0.5,3.55,17.85,8.149999999999999,0.0,0.0,0.07,1
0.3889,32.5,415.0,0.5,4.4,11.1,5.9,1.2,1.3,0.07,1
0.5431981559061588,90.58958230908468,341.6269071032092,0.5,4.5,8.9,2.3,0.3,0.25,0.07,1
0.8807,167.69605734681915,535.1719659619886,0.8500000000000001,5.6,11.5,2.4,1.7,2.1,0.07,1
0.54404645251903,62.5,180.0,2.6,4.55,15.35,5.95,0.0,0.0,0.07,1
0.5095,40.0,260.0,4.25,4.0,20.4,7.5,0.4,0.3,0.07,1
0.7376499999999999,22.5,60.0,0.5,4.2,17.3,6.4,0.3,0.3,0.07,1
0.6908,17.5,100.0,0.5,4.15,17.45,7.85,0.3,0.35,0.07,1
0.08695,17.5,55.0,0.5,4.5,13.6,11.7,0.0,0.0,0.07,1
0.5403702526337534,33.5430376600886,83.17444617944591,0.5,5.8,6.8,6.7,0.0,0.0,0.07,1
0.5325946715107891,197.724608824042,554.1796510957304,2.530271043185903,9.2,7.6,2.6,2.5,2.7,0.07,1
0.49305,126.91134056243285,419.7080445881083,0.5,6.2,6.5,0.4,1.0,0.7,0.07,1
0.536763942756205,98.04140397039703,272.7237551709301,0.5,5.2,6.2,2.4,1.6,0.7,0.07,1
0.5386428512791606,92.68891872426425,288.55064685865386,0.5,4.05,6.2,1.4,0.6,0.8,0.07,1
0.0,150.14050935368425,493.7785924186994,0.5,4.7,11.8,2.4,1.6,1.5,0.07,1
0.4215,110.0,170.0,1.05,4.7,15.35,5.449999999999999,0.8,0.6499999999999999,0.07,1
0.0,120.0,125.0,0.9,4.6,18.5,7.6,0.0,0.0,0.07,1
0.5964,35.0,95.0,1.25,3.8,18.1,8.4,0.0,0.0,0.07,1
